theme,url,img,lines,author
CHARITY,/inspirational-quotes/3103-in-necessary-things-unity-in-disputed-things,https://assets.passiton.com/quotes/quote_artwork/3103/medium/20221115_tuesday_quote.jpg,"In necessary things, unity; in disputed things, liberty; in all things, charity.",<Author:0x000055c7a750bd78>
CHARITY,/inspirational-quotes/7753-charity-is-the-root-of-all-good-works,https://assets.passiton.com/quotes/quote_artwork/7753/medium/20221114_monday_quote.jpg,Charity is the root of all good works.,<Author:0x000055c7a758bcd0>
PRACTICE,/inspirational-quotes/6316-if-you-want-others-to-be-happy-practice,https://assets.passiton.com/quotes/quote_artwork/6316/medium/20221111_friday_quote.jpg,"If you want others to be happy, practice compassion; if you want to be happy, practice compassion. ",<Author:0x000055c7a756f350>
PRACTICE,/inspirational-quotes/7287-i-know-youve-heard-it-a-thousand-times-before,https://assets.passiton.com/quotes/quote_artwork/7287/medium/20221110_thursday_quote.jpg,"I know you've heard it a thousand times before, but it's true... hard work pays off. If you want to be good, you have to practice, practice, practice.",<Author:0x000055c7a75e7328>
PRACTICE,/inspirational-quotes/7836-do-it-again-play-it-again-sing-it-again-read,https://assets.passiton.com/quotes/quote_artwork/7836/medium/20221109_wednesday_quote.jpg,"Do it again. Play it again. Sing it again. Read it again. Write it again. Sketch it again. Rehearse it again. Run it again. Try it again.
Because again is practice, and practice is improvement.",<Author:0x000055c7a75c3b30>
PRACTICE,/inspirational-quotes/7834-take-chances-make-mistakes-thats-how-you-grow,https://assets.passiton.com/quotes/quote_artwork/7834/medium/20221108_tuesday_quote.jpg,"Take chances, make mistakes. That's how you grow.",<Author:0x000055c7a7643f10>
PRACTICE,/inspirational-quotes/6797-practice-is-the-best-of-all-instructors,https://assets.passiton.com/quotes/quote_artwork/6797/medium/20221107_monday_quote.jpg,Practice is the best of all instructors.,<Author:0x000055c7a7624070>
GET OUTSIDE,/inspirational-quotes/7928-the-world-is-incomprehensibly-beautiful-an,https://assets.passiton.com/quotes/quote_artwork/7928/medium/20221104_friday_quote.jpg,The world is incomprehensibly beautiful—an endless prospect of magic and wonder.,<Author:0x000055c7a75fb940>
GET OUTSIDE,/inspirational-quotes/7511-to-be-whole-to-be-complete-wildness-reminds,https://assets.passiton.com/quotes/quote_artwork/7511/medium/20221103_thursday_quote.jpg,"To be whole. To be complete. Wildness reminds us what it means to be human, what we are connected to rather than what we are separate from.",<Author:0x000055c7a768bbd0>
GET OUTSIDE,/inspirational-quotes/8224-of-all-the-paths-you-take-in-life-make-sure-a,https://assets.passiton.com/quotes/quote_artwork/8224/medium/20221102_wednesday_quote.jpg,"Of all the paths you take in life, make sure a few of them are dirt.",<Author:0x000055c7a7656b60>
GET OUTSIDE,/inspirational-quotes/8131-nature-brings-solace-in-all-troubles,https://assets.passiton.com/quotes/quote_artwork/8131/medium/20221101_tuesday_quote.jpg,Nature brings solace in all troubles.,<Author:0x000055c7a7706a88>
GET OUTSIDE,/inspirational-quotes/8226-an-early-morning-walk-is-a-blessing-for-the,https://assets.passiton.com/quotes/quote_artwork/8226/medium/20221031_monday_quote.jpg,An early morning walk is a blessing for the whole day.,<Author:0x000055c7a76e5f18>
FORGIVENESS,/inspirational-quotes/4080-to-forgive-is-to-set-a-prisoner-free-and,https://assets.passiton.com/quotes/quote_artwork/4080/medium/20221028_friday_quote.jpg,To forgive is to set a prisoner free and discover that the prisoner was you.,<Author:0x000055c7a77757a8>
FORGIVENESS,/inspirational-quotes/4448-without-forgiveness-theres-no-future,https://assets.passiton.com/quotes/quote_artwork/4448/medium/20221027_thursday_quote.jpg,"Without forgiveness, there's no future.",<Author:0x000055c7a7736918>
FORGIVENESS,/inspirational-quotes/3794-you-have-many-choices-you-can-choose,https://assets.passiton.com/quotes/quote_artwork/3794/medium/20221026_wednesday_quote.jpg,"You have many choices. You can choose forgiveness over revenge, joy over despair. You can choose action over apathy.",<Author:0x000055c7a77ba740>
FORGIVENESS,/inspirational-quotes/8365-mistakes-are-always-forgivable-if-one-has-the,https://assets.passiton.com/quotes/quote_artwork/8365/medium/20221025_tuesday_quote.jpg,"Mistakes are always forgivable, if one has the courage to admit them.",<Author:0x000055c7a77a4940>
FORGIVENESS,/inspirational-quotes/8205-true-forgiveness-is-when-you-can-say-thank-you,https://assets.passiton.com/quotes/quote_artwork/8205/medium/20221024_monday_quote.jpg,True forgiveness is when you can say ‘Thank you for that experience’.,<Author:0x000055c7a7789fa0>
